CCLE Cell Line Name	Compound	Doses (uM)	Activity Data (median)	EC50 (uM)	IC50 (uM)	ActArea
CORL105_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	6.27,-11,9.31,8.42,1.63,-18,-19,-35	1.042907119	8.0	0.4341
CORL23_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.3,3.09,-.82,-2.1,-3.1,-12,-22,-55	8.556682562	8.0	0.7416
COV318_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.0,11.6,-2.5,-2.4,-7.5,-8.0,-15,-42	8.728316008	8.0	0.7664
COV504_OVARY	AEW541	.0080,.025,.080,.25,.80,2.53,8	14.6,-25,-.40,-9.8,3.90,-23,-53	8.455836536	7.504933834	0.5949
DAOY_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.38,-3.0,-1.2,-3.2,-10,-19,-20,-40	8.484695875	8.0	0.7917
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	1.70,7.01,-4.5,-2.1,-2.5,-12,-24,-38	8.069142898	8.0	0.868
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	22.6,5.11,.36,2.81,-11,-5.0,-8.0,-97	8.222583903	5.428296566	1.2612
DETROIT562_UPPER_AERODIGESTIVE_TRACT	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.3,-.62,13.5,-2.5,-5.6,-16,-21,-15	0.105092965	8.0	0.3942
DKMG_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	3.13,6.35,-3.4,.052,-8.9,-13,-5.6,-13		8.0	0.3032
DMS114_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.96,-10,-17,-14,-1.6,-49,-47,-66	0.581314266	0.851508498	2.3798
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	32.4,129,22.3,18.7,-22,-13,-2.8,-77		1.220665687	2.0396
DOV13_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-.17,7.20,-7.4,-2.2,-4.6,-1.9,-16,-88	7.687819004	5.035466671	1.0079
DU145_PROSTATE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.25,-8.5,-2.5,-4.1,-6.9,-20,-31,-55	8.297514219	6.68214941	0.9597
DV90_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	36.6,-13,6.60,7.70,13.0,-25,-7.7,-38		8.0	1.0623
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	17.9,-15,2.17,-12,23.6,-21,4.74,-14		8.0	1.0303
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.4,-5.5,-7.6,-4.6,4.49,3.18,-1.9,-.21		8.0	0.1471
EBC1_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.7,2.27,-17,14.1,-23,-10,-29,-70	9.014387097	5.164176464	1.2742
EFE184_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.8,-2.1,-3.8,2.39,1.11,-17,-19,-38	4.063054562	8.0	0.5889
EFM19_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.16,7.03,-6.2,.52,3.43,-19,-19,-44	8.934178233	8.0	0.7541
EFO21_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.8,1.74,-7.0,-3.2,-9.9,-24,-26,-48	1.689927578	8.0	1.1699
EFO27_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	3.44,1.85,1.69,-.030,-8.3,-11,-15,-24	1.232770085	8.0	0.2644
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.6,18.7,-.14,10.2,-16,-4.0,-18,-49	8.5957363	8.0	1.1647
EN_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	6.85,-7.2,3.23,-15,-12,-25,-13,-24	0.063838921	8.0	0.6604
ES2_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	6.86,-6.5,3.30,-5.4,-3.5,-12,-8.0,-30	8.861239596	8.0	0.366
ESS1_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	19.8,12.8,4.07,-2.9,-2.9,-6.3,-40,-98	8.49196672	3.300646305	1.5524
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	11.9,4.38,40.8,26.5,-42,-81,-95,-100	0.210990131	0.306566536	3.0325
FADU_UPPER_AERODIGESTIVE_TRACT	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	6.31,-3.4,-7.7,2.28,-2.1,-9.9,-25,-33	1.591280103	8.0	0.5665
FU97_STOMACH	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.72,5.23,1.05,10.3,-6.3,-2.0,-32,-69	2.918102741	3.990180492	0.9502
FUOV1_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	18.9,-.29,9.99,-8.2,-6.5,-51,-51,-68	0.41385439	1.314902544	2.1301
G361_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.6,-3.0,-.74,-7.6,-2.2,-19,-33,-99	8.247628175	3.611555099	1.7872
G401_SOFT_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	1.03,7.89,-13,.27,-11,-36,-65,-86	1.302927375	1.411224127	2.2898
G402_SOFT_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	8.38,5.90,7.87,-3.0,-8.0,-7.3,-24,-35	8.284599783	8.0	0.4365
GAMG_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	6.94,9.67,-2.6,-1.1,-4.7,-12,-21,-30	8.421096765	8.0	0.4895
GB1_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-.53,-14,-20,7.34,-3.8,1.87,-23,-46	2.476015329	8.0	0.8205
GCIY_STOMACH	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,12.2,-7.2,2.66,-13,-11,-17,-43	9.64981753	8.0	0.7879
GCT_SOFT_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.39,-.19,9.90,-.99,-2.7,-16,-34,-82	8.810560254	3.994412184	1.3274
GI1_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.7,7.37,-3.6,8.55,-6.0,4.17,-18,-34	2.486175776	8.0	0.5457
GLC82_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	20.9,20.1,10.3,.58,-9.7,-21,-35,-39	0.274161726	8.0	1.0288
GMS10_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.7,-4.9,-1.8,.22,-9.1,-10,-19,-33	5.100087166	8.0	0.5312
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	9.95,29.8,19.8,11.9,-14,4.16,-43,-49	1.398884416	8.0	1.0074
H4_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.05,2.05,-5.9,-4.6,4.50,-3.3,-6.5,-35	8.075872985	8.0	0.4519
HARA_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	.87,11.2,-3.1,-1.3,-12,.051,-16,-31	8.608051705	8.0	0.4855
HCC1187_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.40,-4.5,19.6,3.36,.18,-11,-16,-20		8.0	0.2086
HCC1395_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	14.0,6.60,20.9,-12,6.30,-3.5,-29,-30	0.57633698	8.0	0.7086
HCC15_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.5,-.66,2.41,-9.7,-8.2,-11,-12,-42	8.044845396	8.0	1.1557
HCC1569_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	1.78,10.5,15.6,8.03,-2.6,-5.0,-17,-28	1.820515752	8.0	0.4023
HCC1806_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	10.4,-3.9,9.65,-19,5.52,-6.8,-2.8,-64	8.028769914	7.206761837	1.0001
HCC1954_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.81,7.71,2.96,-2.9,4.52,-8.1,-20,-54	8.922730124	7.284452438	0.8125
HCC2935_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	21.1,16.1,3.30,11.4,7.47,-20,-19,-25	0.402578533	8.0	0.5445
HCC4006_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	9.56,-5.2,8.04,-2.4,-5.2,-9.8,-15,-49	8.670381391	8.0	0.8118
HCC44_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.30,-5.7,3.55,-1.6,-5.6,-17,-22,-58	8.560937849	6.621147633	0.9276
HCC56_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-19,1.15,-5.1,-4.7,-.43,-3.6,-18,-39	2.703020334	8.0	0.6342
HCC70_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	11.1,13.0,3.91,-5.7,-.85,1.28,-14,-55		8.0	0.6154
HCC78_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.6,3.73,-4.7,-.18,-1.5,3.39,-20,-21	1.725404382	8.0	0.3367
HCC827_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	1.79,18.1,15.0,-6.5,-5.5,15.8,6.28,-54		4.255412994	0.8091
HCT116_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.2,10.8,-1.6,5.14,1.73,-.20,-15,-45	3.317116261	8.0	0.5664
HCT15_LARGE_INTESTINE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	10.5,3.41,-1.9,-9.2,-.96,-17,-20,-92	8.645836873	4.63055563	1.1814
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-8.8,-2.5,-5.1,-2.7,-13,-13,-35,-86	8.506471239	4.04467392	1.389
HDQP1_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-12,8.40,6.25,-6.0,-17,-11,-6.5,-70	8.550541503	7.002896786	1.0021
HEC151_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	4.95,31.7,.96,13.3,-2.9,-.054,15.2,-12		8.0	0.2402
HEC1A_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-.78,15.6,4.88,9.82,3.54,-28,-10,-39	0.395035923	8.0	0.8549
HEC1B_ENDOMETRIUM	AEW541	.0080,.025,.080,.25,.80,2.53,8	-8.0,-3.6,-14,-8.6,-9.7,-8.0,-67	8.072138702	7.18392086	1.3248
HEC251_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.9,5.53,-3.1,1.84,-30,-1.4,-33,-6.2		8.0	0.8731
HEC265_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	5.83,11.6,3.47,5.44,-8.1,-2.7,-10,-7.7		8.0	0.1955
HEC59_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-10,-.67,7.72,3.19,-4.9,3.33,-5.0,-25	3.453911781	8.0	0.1996
HEC6_ENDOMETRIUM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	26.4,38.8,51.6,44.4,9.43,-34,10.8,-21		8.0	0.8225
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	.59,9.40,-3.8,-3.0,-6.1,-2.0,-17,-13		8.0	0.7872
HEP3B217_LIVER	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-16,24.3,-13,16.3,7.30,-2.3,-52,-67	1.634837031	2.40823555	1.5664
HEPG2_LIVER	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	.73,-4.5,-3.7,.36,-16,-34,-40,-82	8.899463028	2.963089466	1.529
HEYA8_OVARY	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	3.56,1.14,6.19,-6.7,-7.0,-11,-15,-41	8.767516153	8.0	0.5856
HGC27_STOMACH	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	2.18,-.79,-.97,-4.4,-6.4,-8.8,-15,-90	8.822166677	5.460076809	1.0097
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-11,24.2,-7.7,9.28,-22,-.11,3.92,-2.8		8.0	0.975
HLE_LIVER	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	3.16,-2.7,.83,-5.5,-6.5,-13,-23,-12		8.0	0.454
HLF_LIVER	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	15.3,.31,4.62,-.70,5.00,-5.1,2.94,-63	8.147836174	7.483052254	0.8423
HMC18_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-3.5,1.27,-2.9,1.56,-10,-16,-39,-75	8.089087838	3.805550575	1.0301
HMCB_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	10.1,.0088,1.33,1.40,-2.3,-14,-13,-89	8.466348922	5.239208221	1.1052
HOS_BONE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-.73,-.52,3.69,11.7,4.47,-1.6,-12,-44	5.65893507	8.0	0.5479
HPAC_PANCREAS	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-5.2,4.06,.12,2.06,-9.9,-25,-38,-93	8.955852098	3.257027626	1.5511
HPAFII_PANCREAS	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	52.3,-6.4,6.32,38.1,-8.2,2.07,-56,-76		1.415435689	1.3463
HS229T_LUNG	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.4,-1.4,5.51,-.65,-5.7,-5.0,-13,-14		8.0	0.1625
HS294T_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.8,8.71,-8.5,6.20,-6.6,1.20,-20,-68	3.008372068	3.668646574	0.969
HS578T_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	1.51,3.74,-3.6,-4.5,-2.0,-8.8,-3.7,-23	8.447404923	8.0	0.2538
HS683_CENTRAL_NERVOUS_SYSTEM	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	7.95,9.72,-2.5,-3.2,-.26,-5.5,-8.5,-63	8.129931494	6.85484457	0.7117
HS695T_SKIN	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	-6.4,5.95,.28,-6.4,-9.7,-18,-18,-65	8.747292265	6.037502289	0.9336
HS729_SOFT_TISSUE	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	10.9,-12,-2.2,.51,-12,-27,-29,-67	9.126202091	4.69119978	1.4926
HS739T_BREAST	AEW541	.0025,.0080,.025,.080,.25,.80,2.53,8	19.3,3.26,42.2,13.9,11.4,-24,-2.4,-59	9.354552473	7.017650604	0.6611
